,ObsID,DateTime,MMSI,VesselName,CallSign,Length,Width,Draft,ObservableProperty,Value,Timestamp
135,135,10/09/2021  00:00:00,367605850,HMS JUSTICE,WDH3254,22,0,0,Bearing,100,1631228400
136,136,10/09/2021  00:00:00,367712170,COLE,WDI5792,16,0,0,LatLong,"35.10248,-92.54498",1631228400
137,137,10/09/2021  00:00:00,367712170,COLE,WDI5792,16,0,0,SpeedOverGround,0,1631228400
138,138,10/09/2021  00:00:00,367712170,COLE,WDI5792,16,0,0,Course,360,1631228400
139,139,10/09/2021  00:00:00,367712170,COLE,WDI5792,16,0,0,Bearing,511,1631228400
140,140,10/09/2021  00:00:00,367740820,RELIEF,WDI8657,12,4,0,LatLong,"45.64331,-122.75276",1631228400
141,141,10/09/2021  00:00:00,367740820,RELIEF,WDI8657,12,4,0,SpeedOverGround,0,1631228400
142,142,10/09/2021  00:00:00,367740820,RELIEF,WDI8657,12,4,0,Course,284.4,1631228400
143,143,10/09/2021  00:00:00,367740820,RELIEF,WDI8657,12,4,0,Bearing,511,1631228400
144,144,10/09/2021  00:00:00,367704390,"RAY ""CHIEF"" TONEY",WDI5024,25,0,0,LatLong,"30.37135,-91.32425",1631228400
145,145,10/09/2021  00:00:00,367704390,"RAY ""CHIEF"" TONEY",WDI5024,25,0,0,SpeedOverGround,0.1,1631228400
146,146,10/09/2021  00:00:00,367704390,"RAY ""CHIEF"" TONEY",WDI5024,25,0,0,Course,33.5,1631228400
147,147,10/09/2021  00:00:00,367704390,"RAY ""CHIEF"" TONEY",WDI5024,25,0,0,Bearing,4,1631228400
148,148,10/09/2021  00:00:00,366939080,SHELBY,WCV6157,22,7,0,LatLong,"27.41918,-82.70170",1631228400
149,149,10/09/2021  00:00:00,366939080,SHELBY,WCV6157,22,7,0,SpeedOverGround,2.5,1631228400
150,150,10/09/2021  00:00:00,366939080,SHELBY,WCV6157,22,7,0,Course,293.4,1631228400
151,151,10/09/2021  00:00:00,366939080,SHELBY,WCV6157,22,7,0,Bearing,310,1631228400
152,152,10/09/2021  00:00:00,338403599,MENACE OF DENNIS,,12,4,0,LatLong,"41.66664,-70.09018",1631228400
153,153,10/09/2021  00:00:00,338403599,MENACE OF DENNIS,,12,4,0,SpeedOverGround,0.3,1631228400
154,154,10/09/2021  00:00:00,338403599,MENACE OF DENNIS,,12,4,0,Course,360,1631228400
155,155,10/09/2021  00:00:00,338403599,MENACE OF DENNIS,,12,4,0,Bearing,511,1631228400
156,156,10/09/2021  00:00:00,366953920,ALICE I HOOKER,WDB8155,38,15,0,LatLong,"30.98124,-91.66226",1631228400
157,157,10/09/2021  00:00:00,366953920,ALICE I HOOKER,WDB8155,38,15,0,SpeedOverGround,5,1631228400
158,158,10/09/2021  00:00:00,366953920,ALICE I HOOKER,WDB8155,38,15,0,Course,13.4,1631228400
159,159,10/09/2021  00:00:00,366953920,ALICE I HOOKER,WDB8155,38,15,0,Bearing,10,1631228400
